book_id,title,category,author,price,stock,discount_rate,pub_date,publisher
BK001,처음 배우는 MySQL,IT,김민준,25000,32,10,2024-03-05,한빛출판사
BK002,파이썬 데이터 분석 입문,IT,이서연,27000,15,15,2023-11-20,위키북스
BK003,자바스크립트 실전 가이드,IT,박도윤,30000,8,20,2024-01-10,인사이트
BK004,클린 코드의 기술,IT,정하은,28000,21,5,2022-07-01,골든래빗
BK005,채식주의자,소설,한강,13000,45,0,2016-05-01,창비
BK006,아몬드,소설,손원평,12000,60,10,2017-03-31,창비
BK007,달러구트 꿈 백화점,소설,이미예,13800,5,0,2020-07-08,팩토리나인
BK008,미드나잇 라이브러리,소설,매트헤이그,15000,18,10,2021-09-15,인플루엔셜
BK009,아주 작은 습관의 힘,자기계발,제임스클리어,16800,52,15,2019-10-15,비즈니스북스
BK010,역행자,자기계발,자청,19000,3,0,2023-02-01,웅진지식하우스
BK011,그릿,자기계발,앤절라더크워스,17000,24,5,2019-05-01,비즈니스북스
BK012,원씽,자기계발,게리켈러,15500,12,0,2013-11-01,비즈니스북스
BK013,부의 추월차선,경제경영,엠제이드마코,17800,9,10,2013-04-10,토트
BK014,돈의 심리학,경제경영,모건하우절,16500,40,20,2021-05-25,인플루엔셜
BK015,세이노의 가르침,경제경영,세이노,18000,2,0,2023-03-15,데이원
BK016,마인드셋,경제경영,캐럴드웩,16000,27,10,2017-01-10,스몰빅라이프
BK017,죽고 싶지만 떡볶이는 먹고 싶어,에세이,백세희,13500,33,0,2018-01-15,흔
BK018,곰돌이 푸 행복한 일은 매일 있어,에세이,곰돌이푸,14000,19,15,2019-01-01,알에이치코리아
BK019,하마터면 열심히 살 뻔했다,에세이,하완,13200,7,0,2018-01-15,웅진지식하우스
BK020,사피엔스,인문,유발하라리,22000,11,5,2015-11-24,김영사
